id	name	code	zip	area_code	abbr	parent_id	latitude	longitude	is_deleted	level	displayorder	user_id	user_name	updated_at	created_at
276	内江市	neijiangshi		0832	njs	24	29.36	105.02	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
277	乐山市	yueshanshi		0833	yss	24	29.36	103.44	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
278	南充市	nanchongshi		0817	ncs	24	30.49	106.04	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
279	眉山市	meishanshi			mss	24			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
280	宜宾市	yibinshi		0831	ybs	24	28.47	104.34	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
281	广安市	guanganshi		0826	gas	24			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
282	达州市	dazhoushi			dzs	24			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
283	雅安市	yaanshi		0835	yas	24	29.59	102.59	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
284	巴中市	bazhongshi		0827	bzs	24	31.51	106.43	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
285	资阳市	ziyangshi			zys	24	30.09	104.38	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
286	阿坝藏族羌族自治州	ebazangzuqiangzuzizhizhou			ebzzqzzzz	24			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
287	甘孜藏族自治州	ganzizangzuzizhizhou			gzzzzzz	24			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
288	凉山彝族自治州	liangshanyizuzizhizhou			lsyzzzz	24			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
289	贵阳市	guiyangshi		0851	gys	25	26.35	106.42	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
290	六盘水市	lupanshuishi		0858	lpss	25	26.35	104.50	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
291	遵义市	zunyishi		0852	zys	25	27.42	106.55	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
292	安顺市	anshunshi		0853	ass	25	26.14	105.55	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
293	铜仁地区	tongrendiqu			trdq	25	27.43	109.12	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
294	黔西南布依族苗族自治州	qianxinanbuyizumiaozuzizhizhou			qxnbyzmzzzz	25			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
295	毕节地区	bijiediqu			bjdq	25	27.18	105.18	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
296	黔东南苗族侗族自治州	qiandongnanmiaozutongzuzizhizhou			qdnmztzzzz	25			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
297	黔南布依族苗族自治州	qiannanbuyizumiaozuzizhizhou			qnbyzmzzzz	25			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
298	昆明市	kunmingshi		0871	kms	26	25.04	102.42	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
299	曲靖市	qujingshi		0874	qjs	26	25.30	103.48	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
300	玉溪市	yuxishi		0877	yxs	26	24.22	102.32	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
301	保山市	baoshanshi		0875	bss	26	25.08	99.10	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
302	昭通市	zhaotongshi		0870	zts	26	27.20	103.42	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
303	丽江市	lijiangshi		0888	ljs	26			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
304	普洱市	puershi			pes	26			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
305	临沧市	lincangshi		0883	lcs	26			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
306	楚雄彝族自治州	chuxiongyizuzizhizhou			cxyzzzz	26	25.01	101.32	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
307	红河哈尼族彝族自治州	honghehanizuyizuzizhizhou			hhhnzyzzzz	26			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
308	文山壮族苗族自治州	wenshanzhuangzumiaozuzizhizhou			wszzmzzzz	26			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
309	西双版纳傣族自治州	xishuangbannadaizuzizhizhou			xsbndzzzz	26			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
310	大理白族自治州	dailibaizuzizhizhou			dlbzzzz	26	25.34	100.13	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
311	德宏傣族景颇族自治州	dehongdaizujingpozuzizhizhou			dhdzjpzzzz	26			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
312	怒江傈僳族自治州	nujianglisuzuzizhizhou			njlszzzz	26			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
313	迪庆藏族自治州	diqingzangzuzizhizhou			dqzzzzz	26			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
314	拉萨市	lasashi		0891	lss	27	29.39	91.08	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
315	昌都地区	changdudiqu			cddq	27			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
316	山南地区	shannandiqu			sndq	27			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
317	日喀则地区	rikazediqu			rkzdq	27	29.16	88.51	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
318	那曲地区	neiqudiqu			nqdq	27			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
319	阿里地区	elidiqu			eldq	27			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
320	林芝地区	linzhidiqu			lzdq	27			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
321	西安市	xianshi		029	xas	28	34.17	108.57	N	2	14	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
322	铜川市	tongchuanshi		0919	tcs	28	35.06	109.07	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
323	宝鸡市	baojishi		0917	bjs	28	34.22	107.09	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
324	咸阳市	xianyangshi		0910	xys	28	34.20	108.43	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
325	渭南市	weinanshi		0913	wns	28	34.30	109.30	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
326	延安市	yananshi		0911	yas	28	36.35	109.28	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
327	汉中市	hanzhongshi		0916	hzs	28	33.04	107.01	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
328	榆林市	yulinshi		0912	yls	28	38.18	109.47	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
329	安康市	ankangshi		0915	aks	28	32.41	109.01	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
330	商洛市	shangluoshi		0914	sls	28			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
331	兰州市	lanzhoushi		0931	lzs	29	36.04	103.51	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
332	嘉峪关市	jiayuguanshi			jygs	29	39.48	98.14	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
333	金昌市	jinchangshi			jcs	29	38.28	102.10	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
334	白银市	baiyinshi		0943	bys	29	36.33	104.12	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
335	天水市	tianshuishi		0938	tss	29	34.37	105.42	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
