F1	F2	F3	F4	F5	F6	F7	F8	F9	F11	F12	F13	F14	¾¶Á÷Á¿
4.087	1.07	0.242	1.695	6.355	6.355	0	0	84.096	9.122	58.099	16.875	3.492	11.1
2.451	0.762	0.25	1.75	2.05	2.05	0	0	88.848	13.874	58.099	16.875	2.263	28.8
0	0	0.102	0.716	3.382	3.382	0	0	87.054	12.08	58.099	16.875	0.453	79
0	0	0.02	0.139	5.535	5.535	0	0	81.519	6.545	58.099	16.875	0.091	34.8
0	0	0.004	0.025	5.432	5.432	0	0	77.274	2.301	58.099	16.875	0.018	18.9
0	0	0.001	0.005	4.203	2.301	1.902	0	73.071	0	56.196	16.875	0.004	12.3
0	0	0	0.001	3.811	0.012	3.799	0	69.272	0	52.397	16.875	0.001	10.1
0	0	0	0	3.953	0.076	3.876	0	65.396	0	48.521	16.875	0	8.6
0	0	0	0	3.751	0.006	3.745	0	61.651	0	44.776	16.875	0	7.23
0	0	0	0	3.352	0	3.352	0	58.299	0	41.424	16.875	0	5.93
0	0	0	0	2.841	1.488	1.353	0	56.946	0	40.071	16.875	0	4.83
0	0	0	0	3.644	3.159	0.485	0	56.461	0	39.586	16.875	0	5.56
0	0	0	0	3.829	3.076	0.752	0	55.709	0	38.834	16.875	0	6.35
0	0	0	0	2.848	1.235	1.613	0	54.096	0	37.221	16.875	0	7.68
0	0	0	0	2.477	0	2.477	0	51.619	0	34.744	16.875	0	5.93
0	0	0	0	5.392	5.088	0.304	0	51.315	0	34.44	16.875	0	5.93
0	0	0	0	2.528	0.665	1.863	0	49.452	0	32.577	16.875	0	5.19
0.236	0.009	0.023	0.159	3.793	3.793	0	0	50.348	0.895	32.577	16.875	0.217	4.83
0	0	0.005	0.033	3.112	0.895	2.217	0	47.235	0	30.36	16.875	0.043	5.73
0	0	0.001	0.006	1.863	0.035	1.828	0	45.408	0	28.533	16.875	0.009	11.1
0	0	0	0.001	2.204	0	2.204	0	43.203	0	26.328	16.875	0.002	7.23
0	0	0	0	1.877	0	1.877	0	41.326	0	24.451	16.875	0	5.19
0	0	0	0	1.598	0	1.598	0	39.728	0	22.853	16.875	0	3.27
0	0	0	0	1.521	0	1.521	0	38.207	0	21.332	16.875	0	3.03
0	0	0	0	1.268	0	1.268	0	36.94	0	20.065	16.875	0	2.6
0.17	0.006	0.016	0.115	5.125	5.125	0	0	37.739	0.799	20.065	16.875	0.187	3.11
2.819	0.823	0.164	1.146	2.46	2.46	0	0	49.63	12.691	20.065	16.875	3.751	5.62
0.796	0.283	0.123	0.863	4.1	4.1	0	0	52.593	15.653	20.065	16.875	1.164	8.61
0	0	0.027	0.186	2.357	2.357	0	0	50.253	13.314	20.065	16.875	0.233	15
0	0	0.005	0.035	4.51	4.51	0	0	45.743	8.804	20.065	16.875	0.047	15.1
0	0	0.001	0.006	4.51	4.51	0	0	41.233	4.294	20.065	16.875	0.009	8.6
4.583	1.715	0.22	1.538	7.175	7.175	0	0	58.581	20	21.706	16.875	5.321	6.94
0.548	0.228	0.143	1.002	3.895	3.895	0	0	60.349	20	23.474	16.875	1.21	25.8
0	0	0.033	0.228	4.715	4.715	0	0	55.634	15.285	23.474	16.875	0.242	31.9
0	0	0.006	0.041	4.92	4.92	0	0	50.714	10.365	23.474	16.875	0.048	21.9
0.766	0.093	0.068	0.479	5.33	5.33	0	0	53.518	13.169	23.474	16.875	0.638	11.7
0	0	0.015	0.104	3.895	3.895	0	0	49.623	9.274	23.474	16.875	0.128	10.6
0	0	0.003	0.019	5.125	5.125	0	0	44.615	4.266	23.474	16.875	0.026	10.1
0	0	0	0.003	4.5	4.266	0.234	0	40.115	0	23.24	16.875	0.005	8.13
0	0	0	0.001	1.594	0.065	1.529	0	38.586	0	21.711	16.875	0.001	5.93
0	0	0	0	2.815	2.382	0.432	0	38.154	0	21.279	16.875	0	4.83
1.245	0.195	0.09	0.628	6.252	6.252	0	0	43.668	5.514	21.279	16.875	1.808	4.83
0	0	0.033	0.233	3.075	3.075	0	0	40.593	2.439	21.279	16.875	0.362	4.87
0	0	0.006	0.043	3.051	2.439	0.612	0	37.542	0	20.667	16.875	0.072	8.13
0	0	0.001	0.008	1.778	0.594	1.184	0	36.358	0	19.483	16.875	0.014	5.93
0	0	0	0.002	1.436	0	1.436	0	34.922	0	18.047	16.875	0.003	4.83
0	0	0	0	1.255	0.041	1.214	0	33.708	0	16.833	16.875	0.001	3.03
0.803	0.123	0.068	0.476	3.587	3.587	0	0	37.601	3.892	16.833	16.875	0.795	2.8
3.365	1.139	0.186	1.301	6.56	6.56	0	0	51.569	17.861	16.833	16.875	4.509	4.31
0.943	0.391	0.143	0.999	3.997	3.997	0	0	54.952	20	18.077	16.875	1.31	11.7
3.397	1.083	0.213	1.493	5.842	5.842	0	0	65.724	20	28.849	16.875	3.728	22
0	0	0.112	0.782	4.51	4.51	0	0	62.073	16.349	28.849	16.875	0.746	54.4
0.056	0.004	0.028	0.193	3.69	3.69	0	0	62.245	16.521	28.849	16.875	0.224	22.2
3.206	0.813	0.197	1.378	2.87	2.87	0	0	71.322	20	34.447	16.875	3.343	14.4
0.304	0.08	0.11	0.768	3.895	3.895	0	0	72.111	20	35.236	16.875	0.788	32.3
0	0	0.027	0.186	5.227	5.227	0	0	67.848	15.737	35.236	16.875	0.158	26.4
0	0	0.005	0.034	4.715	4.715	0	0	63.133	11.022	35.236	16.875	0.032	17.4
0	0	0.001	0.006	3.69	3.69	0	0	59.479	7.368	35.236	16.875	0.006	11.1
0	0	0	0.001	5.945	5.945	0	0	58.145	6.034	35.236	16.875	0.001	8.13
3.803	1.083	0.211	1.474	2.87	2.87	0	0	69.49	17.378	35.236	16.875	4.131	11.7
4.89	2.052	0.318	2.225	3.28	3.28	0	0	81.296	20	44.421	16.875	4.551	37.8
0.212	0.071	0.147	1.032	1.742	1.742	0	0	81.753	20	44.878	16.875	0.929	73.1
0	0	0.037	0.26	1.64	1.64	0	0	80.113	18.36	44.878	16.875	0.186	50.7
0	0	0.007	0.051	0.82	0.82	0	0	79.552	17.799	44.878	16.875	0.037	27.5
1.704	0.219	0.128	0.895	1.947	1.947	0	0	83.224	20	46.349	16.875	1.501	19.6
0.802	0.144	0.113	0.793	0.82	0.82	0	0	84.861	20	47.986	16.875	0.69	18.9
1.691	0.344	0.157	1.101	0.307	0.307	0	0	88.139	20	51.264	16.875	0.925	22.2
0	0	0.031	0.22	0.717	0.717	0	0	88.139	20	51.264	16.875	0.181	27.5
0	0	0.008	0.056	0.512	0.512	0	0	87.644	19.505	51.264	16.875	0.036	26.4
0	0	0.002	0.011	1.435	1.435	0	0	86.209	18.07	51.264	16.875	0.007	20.4
0	0	0	0.002	2.05	2.05	0	0	84.159	16.02	51.264	16.875	0.001	15.1
0	0	0	0	3.69	3.69	0	0	80.469	12.33	51.264	16.875	0	11.7
0	0	0	0	3.587	3.587	0	0	76.882	8.743	51.264	16.875	0	8.6
0.725	0.059	0.067	0.467	4.1	4.1	0	0	78.562	10.423	51.264	16.875	0.442	5.93
13.571	7.161	0.498	3.486	4.1	4.1	0	0	102.191	20	65.316	16.875	7.016	6.46
2.399	0.985	0.372	2.602	1.025	1.025	0	0	105.185	20	68.31	16.875	2.247	120
0.594	0.117	0.148	1.034	0.307	0.307	0	0	105.883	20	69.008	16.875	0.642	132
7.724	2.366	0.443	3.099	0.922	0.922	0	0	113.513	20	76.638	16.875	4.199	71.7
82.563	63.709	1.615	11.304	1.537	1.537	0	0	121.406	20	84.531	16.875	8.816	252
0	0	0.882	6.171	1.845	1.845	0	0	120.538	19.131	84.531	16.875	1.763	1470
0	0	0.158	1.105	1.845	1.845	0	0	118.693	17.286	84.531	16.875	0.353	317
0	0	0.029	0.203	3.485	3.485	0	0	115.208	13.801	84.531	16.875	0.071	132
